post_id,post_text,label,edge_notes
01,"Sweden were threatening during those 20-25 mins after the hydration break and before the half time. Second half completely different. I believe Potter wouldn't have had time to explain tactics during the first half break when he gave up all the time for the irrelevant interview",reaction,
02,"Swedes are playing some good football in playoff they looked really good even though I cheered against them. First match here as well. Now I'll actually cheer for them don't disappoint me again Swedes )",reaction,Very close to hot take but (first match here as well) part makes it a reaction
03,"When the game gets momentum and reach at its peak point the hydration break appears and completely ruins the momentum and also the game experience for the viewer. Football is one of a sport for those moments. Normally outside WC the team conceding attacks after attacks pray for a halftime whistle to go to the tunnel to break the momentum and to regroup. Now they basically get that chance in the middle of a half!!I find it utterly disgusting and would like to know what do you all think about it?",hot_take,Already have to upgrade definition. I only focused on players but this is match based
04,"I am tired of people saying or acting like assists are the ultimate metric for playmaking they are not Suarez and Lewandowski both have 386 career assists combined while Kross and Iniesta have only 336 yet obviously everyone with a basic understanding of football knows that Kross and Iniesta are much much better playmakers because for me being a playmaker is the ability to make or start a goal opportunity out of nothing (for example having the ball in the midfield with every player in the other team in front of you and making an accurate cross into the lane to the winger) rather than finishing an already promising chance (crossing the ball to your teammate in a one vs two for an easy tap in) obviously assists do matter and if you are really good at playmaking you are gonna have a lot of assists probably but all I am saying it's that it's not as simple as ""x player is a better playmaker than x because he has more assists""",analysis,
05,"In 2005 Zwayer was involved in the match fixing scandal which centered around 2. Bundesliga referee Robert Hoyzer who took bribes to fix several matches which he officiated. Zwayer assisted him in a match and allegedly accepted a bribe of 300 euros to avoid critical scenes for Wuppertaler SV. In January 2005 he and three other high-ranking referees informed the DFB about Hoyzer's match fixing. He was subsequently banned from refereeing for 6 months a suspension that was kept secret for several years until the German newspaper Die Zeitpublished a secret file from the German FA.",analysis,
06,"Not sure whether to be more impressed with Haiti or disappointed with Brazil. I was sure it was going to be another 6-0 Canada vs Qatar type game.",reaction,
07,"Morocco is going through a transition their ball now is trynna be more of a higher press which could leave holes in the back.. Their last few games clearly show flaws that could easily be used by more experienced/skilled opponents a fast Mbappe paired with Olise or a Pedri with Yamal heck it’d be quite a fun midfield game with Vitinha and Bruno..",hot_take,No verifyable evidence and player names aren't evidence for analysis
08,"Bouaddi is seriously impressive. Not the best quality game thought Morocco would go after it a bit more to at least have a two goal cushion. Scotland were pretty solid but seeing them go down in the box so much was tiring seemed like the players didn't believe they were getting a goal from anywhere other than the spot",reaction,
09,"The problem is he didn't punish their flops. There were some painfully obvious ones and if you flop 10 times and only win 5 that's still a net win. Scotland should have pressed more and should have played the whole game how they did in the final 15 but Morocco has been quite unsportsmanlike as of late.",hot_take,
10,"I was rooting for Scotland and they did not deserve any pens in this match. If you've been watching the whole tournament you would see that there are no soft pens being given in this world cup. The refs are allowing teams to play physical. It's on the players to internalise that moving forward and not go down at the slightest hint of contact looking for a pen. This isn't regular club football.",hot_take,
11,"Is the Champions League becoming too commercialized and losing its magic for ordinary fans?",hot_take,
12,"usa's midfield is just running circles round them right now. australia's got decent shape at the back but they're getting picked apart in transition. seen this pattern before where a team sits deep early and gets caught out because they can't win the ball back quick enough. if the aussies want to stay in this they need to get someone pressing higher can't just let usa dictate everything from midfield. reckon they'll adjust at halftime but might be too late by then.",reaction,
13,"USA dropping $6 million and making Pochettino the third highest paid national team coach in the world is looking like a shrewd investment.",hot_take,"almost analysis but does not have evidence presented is unsupported of ""shrewd investment"""
14,"Compare this World Cup to one like 2010 where the amount of elite strikers was endless and it really shows how lacking current is in proper number 9’s and after Kane and Lewa retire it will basically just be Haaland. The 2010 WC had Van Persie Rooney Forlan Villa Klose Suarez Tevez Cavani Falcao Eto’o Henry Chicharito Aguero Gomez Drogba Torres. list goes on and on. At that time even players like Dzeko and Mandzukic were thought of as very good but not World Class when they’d easily be top 5 itw at their peak in today’s game",analysis,historical comparison
15,"We have some world class wingers and mid-fielders in Kone and Davies but watching David flub his chance on Friday is indicative of where we are on finish. Larin's goal was super but I hate to think of what would have happened had it not deflected off the defender. But 10 corners or whatever it was and no significant scoring threat is a sign that we need better and more consistent finishers if we want to win.",analysis,almost hot_take but there is evidence although not statistical there is logical evidence which makes this from hot_take to analysis
16,"Hot take but Mbappé is genuinely the most overrated guy at this whole tournament. France would be way more balanced if he wasn't hoovering up every bit of the attack and the spotlight.",hot_take,
17,"THAT. VINICIUS. GOAL. the chop, then the curl into the top bins against switzerland?? i'm physically shaking rn",reaction,
18,"Funny how people say Mbappé peaked early. The guy came back in 2022 and bagged 8 to take the Golden Boot, hat-trick in the FINAL — before him only Geoff Hurst had ever scored three in a World Cup final.",analysis,
19,"Mark my words, Haaland goes home from this without a single knockout goal. He just vanishes the second the pressure is actually on.",hot_take,borderline reaction but claim is portable
20,"2-0 down to SAUDI ARABIA at the break and argentina look completely lost?? what is even happening right now",reaction,genuine in-match shock at scoreline
21,"People sleep on this — Klose is the all-time World Cup top scorer, 16 across four tournaments, but that's barely a goal every other game. Tells you longevity and tournament fitness count for more than a hot scoring streak.",analysis,record-based historical comparison carries the point
22,"going to say what everyone's thinking: Bellingham has turned into a passenger for England and the whole country is too scared to admit it",hot_take,
23,"canada 1-0 up through jonathan david and i full on SCREAMED in my flat. sorry to my neighbours genuinely",reaction,
24,"reminder that Just Fontaine put away 13 goals in a single World Cup back in 1958 and nobody's gotten within four of it since. between modern defensive setups and way fewer blowouts that number is basically untouchable forever.",analysis,
25,"Vinicius is all theatrics and zero end product the moment it actually matters for the national side. prove me wrong.",hot_take,
26,"mbappe. missing. that pen. in the 89th. i have aged ten full years in the span of ten seconds",reaction,
27,"Messi finally getting it done in 2022 — 7 goals, 3 assists, at 35 — pretty much killed the ""can't do it on the big stage"" thing for good. that's him matching what Maradona did, at an age Maradona never had to.",analysis,historical comparison to Maradona is load-bearing
28,"the USA are hosting so obviously they'll get every single 50-50 from the refs and don't pretend we don't all know it",hot_take,rhetorical-edge implied unsupported claim
29,"morocco vs spain is ELECTRIC right now, both ends, end to end, my heart genuinely cannot take much more of this",reaction,in-match emotional running commentary
30,"compare this striker pool to 2010 and it's grim — that year Villa, Forlán, Klose, Suárez, Sneijder and Müller were all banging in four-plus. the current lot of finishers just doesn't have that kind of depth anywhere.",analysis,
31,"Yamal is being completely propped up by hype and this is the tournament that's going to expose how raw he actually still is",hot_take,
32,"HAALAND HAALAND HAALAND. three already and we're only at the hour. norway are absolutely COOKING",reaction,
33,"everyone goes Ronaldo five Ballon d'Ors, Messi eight — but the bit people forget is Messi's came over a much wider span. that's an argument for a longer sustained peak, not a single golden era.",analysis,
34,"VAR has completely murdered the joy of celebrating a goal and this World Cup is proving it literally every single match",hot_take,
35,"absolutely gutted. england out on pens AGAIN. kane stepped up and ballooned it into orbit. i genuinely cannot keep doing this to myself",reaction,
36,"Haaland's club numbers are insane, nearly a goal a game in the Prem — but Norway never going deep in tournaments is the whole point. club scoring and tournament pedigree are two different things and the second one still separates the all-time greats.",analysis,stats plus qualification history carry argument
37,"Pochettino is the wrong man for the USA, full stop. I'd bet money he's gone before the quarters.",hot_take,
38,"yamal is EIGHTEEN and just nutmegged two croatia defenders before teeing up pedri. what am i actually watching here",reaction,
39,"the choker narrative on Lewandowski falls apart the second you put his UCL knockout conversion next to Ronaldo's over the last decade. the actual finishing numbers in those rounds just don't back it up.",analysis,
40,"Pedri is the single most important midfielder in this entire tournament and nobody outside of Spain is willing to say it out loud",hot_take,
41,"usa getting overrun in midfield rn, mexico keep finding those pockets between the lines. berhalter has GOT to change something at the break",reaction,live tactical read tied to ongoing match
42,"Spain's 2010 side won the whole thing scoring just eight goals in seven games. that's the proof you don't actually need an explosive attack if your possession suffocates everyone you play.",analysis,
43,"I'm sorry but Brazil are frauds until they go and win a knockout game against an actual European heavyweight",hot_take,
44,"WHY is the ref not giving that?!? stonewall handball in the box for portugal and he just waves it on. absolute robbery",reaction,ref frustration bound to this match
45,"Germany 2014 stuck SEVEN past Brazil in a semi and that 7-1 is still the most lopsided knockout result the World Cup's ever seen. it's literally the benchmark we measure a collapse against.",analysis,historical record anchors the claim
46,"Kane's going to choke again once we hit the latter stages. it's just who he is at this point, sorry.",hot_take,borderline reaction but claim is portable
47,"japan 2 germany 1 with twenty to go and the german bench looks like they've collectively seen a ghost. LOVE to see it honestly",reaction,
48,"the obsession with assists as THE playmaking stat is so off. Iniesta and Xavi created entire tournaments worth of chances from deep, while your pure assist merchants are just tapping in cutbacks.",analysis,named players carry the tactical point
49,"the hydration breaks are turning every match into stop-start nonsense and completely killing the flow of the game",hot_take,
50,"that osimhen header for nigeria came out of absolutely NOWHERE, the hang time on it was unreal i swear he hovered",reaction,
51,"Cannavaro winning the Ballon d'Or as a defender in 2006 — and no defender doing it since — tells you everything about how far the award's drifted toward attackers no matter the actual impact on the pitch.",analysis,
52,"Argentina are coasting purely on reputation and I genuinely think this is the tournament it finally catches up with them",hot_take,
53,"i'm so nervous i can't even properly watch the senegal shootout. literally viewing it through my fingers",reaction,
54,"Modrić taking the 2018 Golden Ball ahead of Mbappé and Hazard, at 32, basically proved a deep-lying orchestrator can outweigh raw goal output when it comes to actual tournament value.",analysis,
55,"Musiala is already better than anyone Germany have produced in a decade and honestly it isn't even close",hot_take,
56,"brazil down to ten after that red and it's only the 30th minute?? oh this is going to be a loooong night lads",reaction,in-match worry tied to live red card
57,"Italy missing two straight World Cups in 2018 and 2022 right after winning the Euros in 2020 says it all — knockout one-offs and qualification slogs reward completely different kinds of teams.",analysis,
58,"hosting this across three different countries was a blatant money grab that makes zero sense for the fans who actually have to travel for it",hot_take,
59,"PULISIC WITH THE WINNER IN STOPPAGE TIME. I AM ON THE FLOOR. captain america does it AGAIN",reaction,
